Año,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
21 Huelva,525.835,524.278,521.870,519.932,518.930,519.596,520.017,519.229,520.668,522.862,521.968,518.081,513.403,507.915,497.671,492.174,483.792,476.707,472.446,464.934,461.730,458.998,457.507,453.958, ,454.735
22 Huesca,224.264,222.687,220.461,219.345,219.702,221.079,222.909,224.909,226.329,227.609,228.361,228.566,228.409,225.271,220.107,218.023,215.864,212.901,211.286,208.963,205.955,205.430,205.429,204.956, ,206.916
23 Jaén,627.190,631.381,633.564,638.099,643.484,648.250,654.170,659.033,664.916,670.242,670.600,670.761,669.782,667.438,664.742,662.751,660.284,654.458,651.565,647.387,645.781,645.711,649.662,645.792, ,648.551
24 León,451.706,456.439,460.001,463.746,468.316,473.604,479.395,484.694,489.752,494.451,497.799,499.284,500.169,500.200,497.387,498.223,495.902,492.720,495.998,496.655,499.517,502.155,506.511,506.365, ,517.191
25 Lleida,439.727,438.517,434.930,432.866,432.384,434.041,436.029,438.001,440.915,443.032,442.308,439.768,436.402,426.872,414.015,407.496,399.439,385.092,377.639,371.055,365.023,361.590,359.361,357.903, ,356.456
27 Lugo,326.013,327.946,329.587,331.327,333.634,336.527,339.386,342.748,346.005,348.902,351.530,353.504,355.195,355.549,355.176,356.595,357.625,358.452,360.512,361.782,364.125,365.619,366.934,367.751, ,370.303
28 Madrid,6.751.251,6.779.888,6.663.394,6.578.079,6.507.184,6.466.996,6.436.996,6.454.440,6.495.551,6.498.560,6.489.680,6.458.684,6.386.932,6.271.638,6.081.689,6.008.183,5.964.143,5.804.829,5.718.942,5.527.152,5.372.433,5.205.408,5.145.325,5.091.336, ,5.022.289
29 Málaga,1.695.651,1.685.920,1.661.785,1.641.121,1.630.615,1.629.298,1.628.973,1.621.968,1.652.999,1.641.098,1.625.827,1.609.557,1.593.068,1.563.261,1.517.523,1.491.287,1.453.409,1.397.925,1.374.890,1.330.010,1.302.240,1.278.851,1.258.084,1.240.580, ,1.249.290
30 Murcia,1.518.486,1.511.251,1.493.898,1.478.509,1.470.273,1.464.847,1.467.288,1.466.818,1.472.049,1.474.449,1.470.069,1.461.979,1.446.520,1.426.109,1.392.117,1.370.306,1.335.792,1.294.694,1.269.230,1.226.993,1.190.378,1.149.328,1.131.128,1.115.068, ,1.097.249
31 Navarra,661.537,661.197,654.214,647.554,643.234,640.647,640.476,640.790,644.477,644.566,642.051,636.924,630.578,620.377,605.876,601.874,593.472,584.734,578.210,569.628,556.263,543.757,538.009,530.819, ,520.574
32 Ourense,305.223,306.650,307.651,309.293,311.680,314.853,318.391,322.293,326.724,330.257,333.257,335.219,335.642,336.099,336.926,338.671,339.555,340.258,342.213,343.768,344.623,345.241,345.620,344.170, ,346.913
34 Palencia,159.123,160.321,160.980,162.035,163.390,164.644,166.035,167.609,168.955,170.713,171.668,172.510,173.306,173.454,173.281,173.153,173.471,173.990,175.047,176.125,177.345,178.316,179.465,179.623, ,180.571
35 Palmas,1.128.539,1.131.065,1.120.406,1.109.175,1.100.480,1.097.800,1.098.406,1.100.027,1.103.850,1.100.813,1.096.980,1.090.605,1.083.502,1.070.032,1.042.131,1.024.186,1.011.928,987.128,979.606,951.037,924.558,897.595,872.669,849.863, ,834.085
36 Pontevedra,944.275,945.408,942.665,941.772,942.731,944.346,947.374,950.919,955.050,958.428,963.511,962.472,959.764,953.400,947.639,943.117,938.311,930.931,927.555,919.934,916.176,912.621,908.803,906.298, ,915.104
26 Rioja,319.796,319.914,316.798,315.675,315.381,315.794,317.053,319.002,322.027,323.609,322.955,322.415,321.702,317.501,308.968,306.377,301.084,293.553,287.390,281.614,270.400,264.178,265.178,263.644, ,264.941
37 Salamanca,327.338,329.245,330.119,331.473,333.603,335.985,339.395,342.459,345.548,350.564,352.986,353.619,354.608,353.404,351.326,353.110,352.414,350.984,348.271,347.120,350.209,349.733,351.128,349.550, ,353.020
38 Santa Cruz de Tenerife,1.044.405,1.044.887,1.032.983,1.018.510,1.007.641,1.004.124,1.001.900,1.004.788,1.014.829,1.017.531,1.029.789,1.027.914,1.020.490,1.005.936,983.820,971.647,956.352,928.412,915.262,892.718,856.808,818.681,800.020,780.152, ,772.449
40 Segovia,153.663,153.478,153.129,153.342,154.184,155.652,157.570,159.303,161.702,163.701,164.169,164.268,164.854,163.899,159.322,156.598,155.517,152.640,150.701,149.286,147.028,146.613,146.985,146.755, ,147.770
41 Sevilla,1.947.852,1.950.219,1.942.389,1.939.887,1.939.527,1.939.775,1.941.480,1.941.355,1.942.155,1.938.974,1.928.962,1.917.097,1.900.224,1.875.462,1.849.268,1.835.077,1.813.908,1.792.420,1.782.862,1.758.720,1.747.441,1.734.917,1.725.482,1.714.845, ,1.705.320
42 Soria,88.747,88.884,88.636,88.600,88.903,90.040,91.006,92.221,93.291,94.522,95.223,95.258,95.101,94.646,93.593,93.503,92.773,91.652,90.954,91.487,91.314,90.911,91.252,91.593, ,92.848
43 Tarragona,822.309,816.772,804.664,795.902,791.693,792.299,795.101,800.962,810.178,814.199,811.401,808.420,803.301,788.895,757.795,730.466,704.907,674.144,654.149,631.156,612.086,598.533,588.499,580.245, ,574.676
44 Teruel,134.545,134.176,134.137,134.572,135.562,136.977,138.932,140.365,142.183,143.728,144.607,145.277,146.751,146.324,144.046,142.160,141.091,139.333,138.686,137.342,136.233,136.473,136.849,136.840, ,138.211
45 Toledo,709.403,703.772,694.844,687.391,686.841,688.672,693.371,699.136,706.407,711.228,707.242,697.959,689.635,670.203,639.621,615.618,598.256,578.060,563.099,546.538,536.131,527.965,523.459,519.664, ,515.880
46 Valencia/València,2.589.312,2.591.875,2.565.124,2.547.986,2.540.707,2.544.264,2.543.315,2.548.898,2.566.474,2.580.792,2.578.719,2.581.147,2.575.362,2.543.209,2.486.483,2.463.592,2.416.628,2.358.919,2.320.297,2.267.503,2.227.170,2.201.200,2.187.633,2.172.796, ,2.172.840
47 Valladolid,519.361,520.649,519.546,519.851,521.130,523.679,526.288,529.157,532.284,534.280,534.874,533.640,532.575,529.019,521.661,519.249,514.674,510.863,506.302,501.157,497.961,495.690,494.594,492.029, ,490.205
49 Zamora,168.725,170.588,172.539,174.549,177.404,180.406,183.436,185.432,188.270,191.612,193.383,194.214,195.665,197.221,197.237,197.492,198.045,198.524,199.688,200.678,202.356,203.469,204.650,205.201, ,207.475
50 Zaragoza,967.452,972.528,964.693,954.811,953.486,950.507,956.006,960.111,978.638,978.130,973.325,973.252,970.313,955.323,932.502,917.288,912.072,897.350,880.118,871.209,857.565,848.006,844.571,841.438, ,842.419
51 Ceuta,83.517,84.202,84.777,85.144,84.959,84.519,84.263,84.963,84.180,84.018,82.376,80.579,78.674,77.389,76.603,75.861,75.276,74.654,74.931,76.152,75.694,75.241,73.704,72.117, ,68.796
52 Melilla,86.261,87.076,86.487,86.384,86.120,86.026,85.584,84.509,83.679,80.802,78.476,76.034,73.460,71.448,69.440,66.871,65.488,68.016,68.463,69.184,68.789,66.263,56.929,60.108, ,59.576
