pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
AU Mic b,AU Mic,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,846.308.000,6.000,-6.000,0,64.900,1.200,-1.200,0,3.957,146,-146,0,353,13,-13,0,,,,,,,,,,5.770,1.010,-1.010,0,21.20,2.50,-2.40,0,600,17,-16,0,1,237.900,10.000,-9.900,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678.00,90.00,-88.00,0,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,230,240,-300,0,[Fe/H],4.40,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,3.112.911.369,-31d20m32.82s,-313.424.500,97.221.000,46.250,-46.250,88.100.000,1.000.000,-1.000.000,45.290.000,200.000,-200.000,78.403.800,7.310,-7.310,2024-09-28,2023-12,2024-09-28
AU Mic c,AU Mic,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,1.885.969.000,8.000,-8.000,0,110.800,2.000,-2.000,0,2.522,247,-247,0,225,22,-22,0,,,,,,,,,,3.380,1.640,-1.640,0,7.30,0.90,-0.80,0,459,13,-12,0,0,97.000,18.000,-17.000,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678.00,90.00,-88.00,0,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,230,240,-300,0,[Fe/H],4.40,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,3.112.911.369,-31d20m32.82s,-313.424.500,97.221.000,46.250,-46.250,88.100.000,1.000.000,-1.000.000,45.290.000,200.000,-200.000,78.403.800,7.310,-7.310,2024-09-28,2023-12,2024-09-28
BD-14 3065 b,BD-14 3065 A,1,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,428.897.310,520,-520,0,65.600,2.600,-2.600,0,21.590,1.050,-1.050,0,1.926,94,-94,0,393.200.000,29.000.000,-28.000.000,0,1.237.000,92.000,-87.000,0,Mass,66.000,9.800,-11.000,0,,,,,2001,31,-31,0,0,649.000,23.000,-20.000,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,,6935.00,90.00,-90.00,0,2.35,0.08,-0.08,0,1.41,0.05,-0.05,0,-340,50,-50,0,[Fe/H],3.85,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m40.72s,1.536.696.689,-15d38m34.21s,-156.428.372,5.894.230.000,165.990.000,-157.290.000,111.000.000,130.000,-130.000,99.320.000,260.000,-260.000,109.100.000,16.170,-16.170,2024-06-25,2024-03,2024-06-25
DS Tuc A b,DS Tuc A,1,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,813.826.800,1.100,-1.100,0,,,,,5.700,170,-170,0,509,15,-15,0,,,,,,,,,,0,,,0,,,,,850,,,0,0,293.600,2.600,-2.600,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,G6 V,5428.00,80.00,-80.00,0,0.96,0.03,-0.03,0,01.01,0.06,-0.06,0,0,,,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m39.71s,3.549.154.673,-69d11m45.75s,-691.960.430,440.622.000,693.000,-691.000,81.700.000,300.000,-300.000,66.760.000,340.000,-340.000,83.192.600,10.250,-10.250,2019-07-03,2019-07,2019-07-11
GJ 1252 b,GJ 1252,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,51.823.310,840,-840,0,,,,,1.193,74,-74,0,106,7,-7,0,132.000,28.000,-28.000,0,415,88,-88,0,Mass,0,,,0,,,,,,,,,0,,,,,<a refstr=SHPORER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...890L...7S/abstract target=ref>Shporer et al. 2020</a>,M3,3458.00,140.00,-133.00,0,0.39,0.02,-0.02,0,0.38,0.02,-0.02,0,100,100,-100,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h27m42.88s,3.069.286.462,-56d27m44.23s,-564.622.865,203.730.000,192.000,-192.000,126.800.000,2.000.000,-2.000.000,79.150.000,230.000,-230.000,112.364.000,8.060,-8.060,2023-07-10,2022-09,2023-07-10
GJ 143 b,GJ 143,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,3.561.253.000,60.000,-62.000,0,191.500,5.800,-6.300,0,2.610,170,-160,0,233,15,-14,0,2.270.000,220.000,-190.000,0,7.142,692,-598,0,Mass,188.000,76.000,-78.000,0,,,,,422,15,-14,0,0,,,,,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,K4.5,4640.00,100.00,-100.00,0,0.69,0.03,-0.03,0,0.73,0.07,-0.07,0,3,60,-60,0,[Fe/H],4.61,0.05,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h27m00.05s,517.501.882,-63d30m00.60s,-635.001.660,163.200.000,71.000,-71.000,80.800.000,300.000,-300.000,53.750.000,240.000,-240.000,76.790.600,2.600,-2.600,2019-04-22,2019-04,2019-04-25
GJ 238 b,GJ 238,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TEY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..283T/abstract target=ref>Tey et al. 2024</a>,174.469.990,190,-180,0,21.230,160,-170,0,566,14,-14,0,50,1,-1,0,,,,,,,,,,,,,,,,,,758,16,-15,0,0,,,,,<a refstr=TEY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..283T/abstract target=ref>Tey et al. 2024</a>,M2.5 V,3485.00,140.00,-140.00,0,0.43,0.01,-0.01,0,0.42,0.01,-0.01,0,150,100,-100,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h33m49.17s,984.548.810,-58d31m30.11s,-585.250.316,152.142.000,71.000,-72.000,116.200.000,1.000.000,-1.000.000,70.300.000,230.000,-230.000,105.294.000,4.630,-4.630,2024-08-07,2024-06,2024-08-07
GJ 3090 b,GJ 3090,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,285.310.540,230,-230,0,31.650,270,-270,0,2.130,110,-110,0,190,10,-10,0,334.000,72.000,-72.000,0,1.051,227,-227,0,Mass,320.000,,,1,,,,,693,18,-18,0,0,,,,,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,M2 V,3556.00,70.00,-70.00,0,0.52,0.02,-0.02,0,0.52,0.01,-0.01,0,-60,120,-120,0,[Fe/H],4.73,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h21m45.22s,204.384.281,-46d42m53.00s,-467.147.234,224.751.000,260.500,-260.500,114.030.000,260.000,-260.000,72.940.000,260.000,-260.000,105.521.000,9.380,-9.380,2023-11-28,2022-07,2023-11-28
GJ 341 b,GJ 341,1,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DITOMASSO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...979..214D/abstract target=ref>DiTomasso et al. 2025</a>,757.686.000,3.400,-2.000,0,,,,,880,50,-50,0,79,4,-4,0,400.000,,,1,1.259,,,1,Mass,0,,,0,13.80,5.90,-3.70,0,,,,,0,,,,,<a refstr=DITOMASSO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...979..214D/abstract target=ref>DiTomasso et al. 2025</a>,M1,3770.00,40.00,-40.00,0,0.51,0.02,-0.02,0,0.48,0.03,-0.03,0,-160,90,-90,0,[Fe/H],4.72,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h21m35.85s,1.403.993.759,-60d16m52.21s,-602.811.692,104.540.000,31.500,-31.500,94.900.000,1.000.000,-1.000.000,55.870.000,210.000,-210.000,86.753.800,5.590,-5.590,2025-02-25,2025-02,2025-02-25
GJ 3473 b,GJ 3473,1,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,119.800.350,180,-190,0,15.890,620,-620,0,1.264,50,-49,0,113,4,-4,0,186.000,30.000,-30.000,0,585,94,-94,0,Mass,0,,,0,59.40,5.00,-4.50,0,773,16,-15,0,0,,,,,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,,3347.00,54.00,-54.00,0,0.36,0.01,-0.01,0,0.36,0.02,-0.02,0,110,190,-190,0,[Fe/H],4.81,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h02m22.47s,1.205.936.065,+03d20m13.79s,33.371.629,273.644.000,376.000,-376.000,137.400.000,270.000,-270.000,88.290.010,240.000,-240.000,124.650.000,3.430,-3.430,2020-10-16,2020-10,2020-10-22
GJ 357 b,GJ 357,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,393.060.000,200,-200,0,36.000,400,-400,0,1.200,60,-60,0,107,5,-5,0,,,,,,,,,,,,,,,,,,518,44,-44,0,0,95.500,6.200,-6.200,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,M2.5 V,3505.00,51.00,-51.00,0,0.34,0.01,-0.01,0,0.34,0.01,-0.01,0,-120,160,-160,0,[Fe/H],4.94,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h36m01.79s,1.440.074.644,-21d39m54.23s,-216.650.634,94.418.100,51.100,-51.100,109.100.000,1.000.000,-1.000.000,64.750.000,170.000,-170.000,98.803.600,14.400,-14.400,2023-08-22,2023-03,2023-08-22
GJ 367 b,GJ 367,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,32.192.250,20,-20,0,7.090,270,-270,0,699,24,-24,0,62,2,-2,0,63.300,5.000,-5.000,0,199,16,-16,0,Mass,60.000,70.000,-40.000,0,579.00,57.00,-52.00,0,1365,32,-32,0,0,,,,,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,M1.0 V,3522.00,70.00,-70.00,0,0.46,0.01,-0.01,0,0.46,0.01,-0.01,0,-10,120,-120,0,[Fe/H],4.78,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h44m29.15s,1.461.214.640,-45d46m44.46s,-457.790.165,94.126.300,28.350,-28.350,101.530.000,440.000,-440.000,57.800.000,200.000,-200.000,91.515.900,6.500,-6.500,2023-08-10,2023-07,2023-08-10
GJ 3929 b,GJ 3929,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,261.623.500,500,-500,0,25.200,500,-500,0,1.090,40,-40,0,97,4,-4,0,175.000,44.000,-45.000,0,551,138,-142,0,Mass,0,,,0,17.30,0.70,-0.70,0,568,6,-6,0,0,,,,,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,,3384.00,88.00,-88.00,0,0.32,0.01,-0.01,0,0.31,0.03,-0.02,0,-20,120,-120,0,[Fe/H],4.89,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h58m18.62s,2.395.775.678,+35d24m29.21s,354.081.141,158.095.000,96.000,-95.000,126.750.000,230.000,-230.000,78.690.000,200.000,-200.000,115.109.000,6.810,-6.810,2022-08-01,2022-07,2022-08-01
GJ 806 b,GJ 806,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,92.632.370,90,-90,0,14.060,300,-300,0,1.331,23,-23,0,119,2,-2,0,190.000,17.000,-17.000,0,598,53,-53,0,Mass,,,,,130.00,6.00,-6.00,0,940,10,-10,0,0,,,,,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,M1.5 V,3600.00,16.00,-16.00,0,0.41,0.00,0.00,0,0.41,0.01,-0.01,0,-280,70,-70,0,[Fe/H],4.98,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m04.73s,3.112.697.002,+44d30m00.85s,445.002.351,120.445.000,43.500,-43.500,107.900.000,1.000.000,-1.000.000,65.330.000,160.000,-160.000,98.246.100,7.590,-7.590,2023-11-28,2023-10,2023-11-28
Gliese 12 b,Gliese 12,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KUZUHARA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...967L..21K/abstract target=ref>Kuzuhara et al. 2024</a>,1.276.140.800,5.000,-5.000,0,66.800,2.400,-2.400,0,958,46,-48,0,85,4,-4,0,387.000,,,1,1.218,,,1,Mass,500.000,,,1,1.62,0.13,-0.11,0,315,6,-5,0,0,,,,,<a refstr=KUZUHARA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...967L..21K/abstract target=ref>Kuzuhara et al. 2024</a>,M3.0 V,3296.00,48.00,-36.00,0,0.26,0.01,-0.01,0,0.24,0.01,-0.01,0,-320,60,-60,0,[Fe/H],5.21,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h15m49.90s,39.579.137,+13d33m27.42s,135.576.175,122.100.000,130.500,-130.500,126.000.000,420.000,-420.000,78.070.000,200.000,-200.000,113.963.000,17.560,-17.560,2024-05-21,2024-06,2024-05-21
HD 101581 b,HIP 56998,1,1,2,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,446.569.000,29.000,-32.000,0,46.000,700,-700,0,956,61,-63,0,85,5,-6,0,,,,,,,,,,,,,,80.00,9.00,-8.00,0,834,23,-23,0,0,,,,,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,,4675.00,53.00,-53.00,0,0.63,0.03,-0.03,0,0.65,0.03,-0.03,0,-343,59,-59,0,[Fe/H],4.65,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h41m01.51s,1.752.563.039,-44d24m14.93s,-444.041.485,127.781.000,114.000,-114.000,77.700.000,300.000,-300.000,51.010.000,160.000,-160.000,73.839.900,2.810,-2.810,2025-01-22,2025-01,2025-01-22
HD 101581 c,HIP 56998,1,1,2,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,620.401.000,54.000,-44.000,0,57.300,900,-900,0,990,70,-70,0,88,6,-6,0,,,,,,,,,,,,,,52.00,6.00,-5.00,0,747,21,-20,0,0,,,,,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,,4675.00,53.00,-53.00,0,0.63,0.03,-0.03,0,0.65,0.03,-0.03,0,-343,59,-59,0,[Fe/H],4.65,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h41m01.51s,1.752.563.039,-44d24m14.93s,-444.041.485,127.781.000,114.000,-114.000,77.700.000,300.000,-300.000,51.010.000,160.000,-160.000,73.839.900,2.810,-2.810,2025-01-22,2025-01,2025-01-22
HD 108236 b,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,379.596.300,2.500,-3.400,0,45.270,960,-880,0,1.615,51,-51,0,144,5,-5,0,,,,,,,,,,45.000,39.000,-33.000,0,,,,,,,,,1,28.500,1.700,-1.700,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660.00,61.00,-61.00,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-280,40,-40,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,1.865.740.627,-51d21m46.99s,-513.630.519,645.978.000,1.943.000,-1.932.000,92.500.000,300.000,-300.000,76.370.000,310.000,-310.000,90.874.500,1.570,-1.570,2021-01-21,2021-02,2021-01-28
HD 108236 c,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,620.344.900,4.900,-4.600,0,62.000,1.200,-1.200,0,2.071,52,-52,0,185,5,-5,0,,,,,,,,,,34.000,42.000,-25.000,0,,,,,,,,,0,46.900,2.100,-2.200,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660.00,61.00,-61.00,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-280,40,-40,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,1.865.740.627,-51d21m46.99s,-513.630.519,645.978.000,1.943.000,-1.932.000,92.500.000,300.000,-300.000,76.370.000,310.000,-310.000,90.874.500,1.570,-1.570,2021-01-21,2021-02,2021-01-28
HD 108236 d,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,1.417.568.500,8.300,-10.000,0,107.400,2.300,-2.300,0,2.539,62,-65,0,227,6,-6,0,,,,,,,,,,55.000,38.000,-35.000,0,,,,,,,,,0,70.500,3.100,-3.400,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660.00,61.00,-61.00,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-280,40,-40,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,1.865.740.627,-51d21m46.99s,-513.630.519,645.978.000,1.943.000,-1.932.000,92.500.000,300.000,-300.000,76.370.000,310.000,-310.000,90.874.500,1.570,-1.570,2021-01-21,2021-02,2021-01-28
HD 108236 e,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,1.959.002.500,8.300,-8.900,0,136.700,2.200,-2.000,0,3.083,52,-52,0,275,5,-5,0,,,,,,,,,,58.000,32.000,-36.000,0,,,,,,,,,0,103.800,3.000,-2.800,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660.00,61.00,-61.00,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-280,40,-40,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,1.865.740.627,-51d21m46.99s,-513.630.519,645.978.000,1.943.000,-1.932.000,92.500.000,300.000,-300.000,76.370.000,310.000,-310.000,90.874.500,1.570,-1.570,2021-01-21,2021-02,2021-01-28
HD 109833 b,HD 109833,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,918.852.600,2.600,-2.600,0,,,,,2.888,152,-127,0,258,14,-11,0,,,,,,,,,,180.000,240.000,-120.000,0,,,,,,,,,0,,,,,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,,5881.00,50.00,-50.00,0,1.00,0.04,-0.04,0,01.08,0.05,-0.05,0,-70,80,-80,0,[M/H],4.45,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h39m06.21s,1.897.758.591,-74d34m26.47s,-745.740.205,795.561.000,1.488.000,-1.483.000,92.900.000,300.000,-300.000,78.200.000,260.000,-260.000,91.365.700,4.020,-4.020,2022-12-17,2022-12,2022-12-17
