pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-1836 b,TOI-1836,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HEIDARI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241208527H/abstract target=ref>Heidari et al. 2024</a>,2.038.079.900,1.600,-1.600,0,159.700,3.100,-3.200,0,8.003,347,-347,0,714,31,-31,0,3.845.724,921.702,-921.702,0,12.100,2.900,-2.900,0,Mass,0,,,0,,,,,966,31,-30,0,0,216.400,3.600,-3.700,0,<a refstr=HEIDARI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241208527H/abstract target=ref>Heidari et al. 2024</a>,,6380.00,150.00,-150.00,0,1.58,0.06,-0.06,0,1.31,0.08,-0.08,0,-101,79,-79,0,[Fe/H],4.16,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h23m37.90s,2.459.079.242,+54d41m24.28s,546.900.774,1.916.490.000,9.290.000,-9.200.000,97.650.000,40.000,-40.000,85.310.000,180.000,-180.000,96.448.200,3.220,-3.220,2025-03-03,2025-02,2025-03-03
TOI-1836 c,TOI-1836,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,177.274.710,790,-790,0,30.890,500,-500,0,2.600,221,-144,0,232,20,-13,0,800.000,,,1,2.517,,,1,Mass,0,,,0,,,,,2008,36,-29,0,0,,,,,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,6237.00,91.00,-69.00,0,1.65,0.03,-0.03,0,1.25,0.02,-0.04,0,-136,73,-34,0,[Fe/H],4.10,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h23m37.90s,2.459.079.242,+54d41m24.28s,546.900.774,1.916.490.000,9.290.000,-9.200.000,97.650.000,40.000,-40.000,85.310.000,180.000,-180.000,96.448.200,3.220,-3.220,2024-07-22,2024-06,2024-07-22
TOI-1842 b,TOI-1842,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,957.391.810,990,-990,0,100.000,2.000,-2.000,0,12.349,279,-294,0,1.102,25,-26,0,8.940.000,780.000,-780.000,0,28.128,2.454,-2.454,0,Mass,276.000,64.000,-64.000,0,,,,,1200,22,-22,0,0,,,,,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,6039.00,93.00,-89.00,0,02.03,0.04,-0.04,0,1.46,0.03,-0.04,0,332,60,-60,0,[Fe/H],3.99,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h27m51.04s,2.019.626.552,+09d01m50.32s,90.306.437,2.234.650.000,22.600.000,-22.160.000,98.150.000,40.000,-40.000,84.460.000,210.000,-210.000,96.598.100,2.470,-2.470,2024-07-23,2024-06,2024-07-23
TOI-1853 b,TOI-1853,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NAPONIELLO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230901464N/abstract target=ref>Naponiello et al. 2023</a>,124.362.580,150,-150,0,21.300,500,-500,0,3.460,80,-80,0,309,7,-7,0,7.320.000,270.000,-270.000,0,23.031,850,-850,0,Mass,30.000,,,1,,,,,1479,25,-25,0,0,,,,,<a refstr=NAPONIELLO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230901464N/abstract target=ref>Naponiello et al. 2023</a>,K2.5 V,4985.00,70.00,-70.00,0,0.81,0.01,-0.01,0,0.84,0.04,-0.04,0,110,80,-80,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h05m50.24s,2.114.593.468,+16d59m32.53s,169.923.703,1.651.050.000,10.060.000,-9.940.000,121.780.000,280.000,-280.000,100.550.000,190.000,-190.000,119.474.000,3.010,-3.010,2023-09-19,2023-09,2023-09-19
TOI-1855 b,TOI-1855,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SCHULTE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...32S/abstract target=ref>Schulte et al. 2024</a>,136.414.864,51,-51,0,23.980,460,-370,0,18.495,5.829,-4.147,0,1.650,520,-370,0,36.009.959,3.051.153,-2.892.239,0,113.300,9.600,-9.100,0,Mass,33.000,38.000,-23.000,0,,,,,1701,20,-20,0,0,707.000,28.000,-30.000,0,<a refstr=SCHULTE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...32S/abstract target=ref>Schulte et al. 2024</a>,,5359.00,89.00,-83.00,0,01.04,0.03,-0.03,0,0.99,0.06,-0.04,0,399,69,-79,0,[Fe/H],4.40,0.04,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h41m24.95s,2.053.539.534,+17d41m12.74s,176.868.719,1.768.330.000,11.860.000,-11.700.000,111.970.000,160.000,-160.000,95.230.000,160.000,-160.000,111.611.000,15.820,-15.820,2024-07-23,2024-07,2024-07-23
TOI-1859 b,TOI-1859,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DONG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230516495D/abstract target=ref>Dong et al. 2023</a>,6.348.347.000,10.000,-10.000,0,337.000,44.000,-36.000,0,9.752,785,-785,0,870,70,-70,0,,,,,,,,,,570.000,120.000,-160.000,0,,,,,,,,,0,,,,,<a refstr=DONG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230516495D/abstract target=ref>Dong et al. 2023</a>,,6341.00,68.00,-70.00,0,1.36,0.10,-0.12,0,1.29,0.06,-0.06,0,120,54,-56,0,[M/H],4.29,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h39m19.62s,2.798.317.644,+69d31m22.34s,695.228.726,2.243.850.000,11.730.000,-11.610.000,103.300.000,60.000,-60.000,92.430.000,150.000,-150.000,102.843.000,3.480,-3.480,2023-06-12,2023-05,2023-06-12
TOI-1860 b,TOI-1860,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,106.621.070,140,-140,0,20.400,200,-200,0,1.310,40,-40,0,117,4,-4,0,,,,,,,,,,,,,,,,,,1885,28,-28,0,0,,,,,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,G V,5752.00,100.00,-100.00,0,0.94,0.02,-0.02,0,0.99,0.03,-0.03,0,40,60,-60,0,[Fe/H],4.58,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h05m49.62s,2.264.567.308,+64d02m51.66s,640.476.821,458.640.000,648.000,-645.000,84.000.000,300.000,-300.000,67.920.000,210.000,-210.000,82.322.300,6.360,-6.360,2022-02-15,2022-02,2022-02-15
TOI-1883 b,TOI-1883,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PEL_AMP_AACUTE_EZ_TORRES_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...690A..62P/abstract target=ref>Pel&aacute;ez-Torres et al. 2024</a>,450.638.000,700,-600,0,46.800,1.000,-2.100,0,5.650,240,-240,0,504,21,-21,0,,,,,,,,,,,,,,,,,,525,,,0,0,,,,,<a refstr=PEL_AMP_AACUTE_EZ_TORRES_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...690A..62P/abstract target=ref>Pel&aacute;ez-Torres et al. 2024</a>,M,3477.00,157.00,-157.00,0,0.49,0.01,-0.01,0,0.49,0.02,-0.02,0,,,,,,4.50,,,-1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h56m21.42s,1.340.892.456,-12d55m50.32s,-129.306.438,1.153.690.000,8.610.000,-8.480.000,157.920.000,690.000,-690.000,109.940.000,230.000,-230.000,145.242.000,5.020,-5.020,2024-10-22,2024-10,2024-10-22
TOI-1898 b,TOI-1898,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,4.552.234.000,6.100,-6.100,0,269.000,5.000,-5.000,0,9.396,234,-309,0,838,21,-28,0,12.900.000,700.000,-800.000,0,40.588,2.202,-2.517,0,Mass,485.000,39.000,-39.000,0,,,,,675,12,-12,0,0,,,,,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,6241.00,88.00,-85.00,0,1.61,0.03,-0.03,0,1.25,0.03,-0.04,0,-95,59,-71,0,[Fe/H],4.12,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h38m13.27s,1.445.553.000,+23d32m48.29s,235.467.464,796.682.000,4.423.000,-4.377.000,78.700.000,300.000,-300.000,66.630.000,230.000,-230.000,77.480.000,3.090,-3.090,2024-07-23,2024-06,2024-07-23
TOI-1899 b,TOI-1899,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LIN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...90L/abstract target=ref>Lin et al. 2023</a>,2.909.031.200,3.600,-3.500,0,152.500,6.500,-6.000,0,11.097,336,-336,0,990,30,-30,0,21.294.503,1.271.314,-1.271.314,0,67.000,4.000,-4.000,0,Mass,44.000,29.000,-27.000,0,3.40,0.30,-0.20,0,378,8,-7,0,0,,,,,<a refstr=LIN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...90L/abstract target=ref>Lin et al. 2023</a>,,3926.00,45.00,-47.00,0,0.61,0.02,-0.02,0,0.63,0.03,-0.03,0,280,110,-110,0,[Fe/H],4.67,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h57m42.44s,2.994.268.472,+40d08m36.05s,401.433.462,1.284.380.000,2.500.000,-2.500.000,148.800.000,2.000.000,-2.000.000,105.090.000,180.000,-180.000,135.553.000,4.220,-4.220,2024-04-15,2023-09,2024-04-15
