SOURCE_ID,phot_g_mean_mag,bp_rp,star_type
4312219187494119680,18.550125,3.8531914,CEP
4312228980050786048,16.180874,3.6033173,CEP
4054140645696842368,15.636759,3.572011,CEP
4312274261859871616,17.874937,3.6827202,CEP
2243309938950947200,14.251255,1.0922575,CEP
4054155699611497472,9.04795,1.9198446,CEP
4054156313736457216,17.54229,4.116825,CEP
4054161025350526080,18.044155,4.6809807,CEP
4128740143126634368,14.041063,0.963274,CEP
4054147521993051392,16.697796,4.6405106,CEP
4194262686717018496,15.6380415,1.1041126,CEP
3002240006005238528,13.722431,1.3966894,CEP
4054213286520302464,18.160612,4.494377,CEP
4054216825572432512,17.873228,4.704611,CEP
5712175459944371200,14.272457,1.4725151,CEP
4269164201987809536,16.984726,2.5273695,CEP
5824226655600824704,7.588107,0.98758173,CEP
4054286846380976512,18.417542,4.54743,CEP
5953161157176732288,15.899134,2.4526863,CEP
4054295642476470656,17.745005,4.089526,CEP
4318133323133643264,15.774977,2.7291183,CEP
4320461195449352064,15.738185,1.8199873,CEP
4059881303377933824,15.996522,2.527337,CEP
4320538882800306432,16.849438,2.999216,CEP
4059892367140229760,16.844975,1.9642639,CEP
4320555444195545216,16.418262,2.9282246,CEP
4054388933481774976,16.058052,6.07903,CEP
4320635914698293504,16.914972,2.9782915,CEP
4059939474420114176,16.8701,2.1318378,CEP
5345042514485408768,14.638452,1.1165171,CEP
4309318710187116800,17.998096,4.9902706,CEP
4059969637871204352,15.697735,2.3246603,CEP
4054440301294394624,7.6038513,1.2911468,CEP
1825559704420479360,12.0560255,2.4179068,CEP
1825560185457084928,15.9775095,5.377343,CEP
4309465117041181952,12.815503,2.941928,CEP
1825621002188696448,6.700444,1.8089609,CEP
1825583030353257984,13.31751,3.103119,CEP
4309752295724952064,15.781602,5.0657034,CEP
4052476711021003136,13.63706,1.5396538,CEP
2093783813638370816,18.007685,1.3411407,CEP
4309894167084263808,16.796328,6.002261,CEP
4052502549553969664,14.212509,1.534112,CEP
4310099329072562304,18.878044,4.524925,CEP
4123465682855876736,12.949978,1.602273,CEP
4123491109051178496,16.18177,1.791153,CEP
5961203539356720768,15.071651,1.1846151,CEP
5277808374864076672,15.09631,1.1526251,CEP
1809905441956498176,15.504311,1.4718208,CEP
5278221481999140096,17.971321,0.7257538,CEP
5278265909141649664,15.740744,0.8132162,CEP
5278301845126808832,17.20909,0.680645,CEP
5278302089946913408,15.660465,0.89223385,CEP
5278302158666471296,16.563019,0.7193985,CEP
5278302944638212992,18.025158,0.74479103,CEP
5278352426964444672,15.743202,0.89980316,CEP
5278378540365808512,16.640846,0.76288795,CEP
5278421009002062080,13.821925,1.5064774,CEP
5278432004118558976,16.923502,0.6366844,CEP
5278444889019947136,18.161373,0.64395905,CEP
5278451451729893248,17.54276,0.47349358,CEP
5278525634403075200,16.040709,0.8612509,CEP
5278547624636470400,16.467167,1.0811424,CEP
5278581121081056640,17.57068,0.7062168,CEP
5278596793422657920,17.43464,0.73506355,CEP
5278603592350649856,17.377272,0.7523289,CEP
5278607582381418368,15.775991,0.80051136,CEP
4118656139721380480,14.013767,1.8910456,CEP
5862176539983081472,15.511865,3.922223,CEP
3031875585286182144,9.219297,1.2322006,CEP
2068580735086316800,19.28838,3.295412,CEP
2068636608324046464,15.59039,2.5747766,CEP
4118696585520277760,16.255878,2.7084112,CEP
2068663855595724672,9.922828,3.014017,CEP
3031986331027091712,14.251936,1.4488859,CEP
4118641816080709248,16.542334,1.6370869,CEP
2068890389351292928,17.447807,4.2276144,CEP
4118722282221028480,15.572456,2.8641768,CEP
5862249584425408128,17.912874,5.475315,CEP
3032164280111730048,11.862461,1.1242762,CEP
2069080501783040640,16.225761,3.227271,CEP
5862282707211427968,18.25018,3.8799114,CEP
4118751487995010560,15.789018,2.3998919,CEP
4655517400962529920,16.380297,0.9686308,CEP
4655517847639097088,15.861001,0.81744576,CEP
4655518702336399232,18.533438,0.8021183,CEP
4655518947150668672,17.346252,0.934103,CEP
4655519359467922560,15.811336,0.8608799,CEP
4655520115382110336,16.951162,1.0279236,CEP
4655520385939484800,15.28537,1.1042137,CEP
5862299921440972416,18.999304,4.1484184,CEP
4655521558490763392,16.47058,0.9512577,CEP
4655521695929694848,16.349949,1.0246191,CEP
4655522486203657728,16.281206,0.8086033,CEP
4655523413917084288,14.775635,0.8200569,CEP
4655524616507396352,16.22331,0.84577656,CEP
4655525544220567680,13.821462,1.1063919,CEP
4655526162697063424,15.804748,1.0880632,CEP
4655526987330634496,17.149548,0.65120506,CEP
4655527601485855616,16.586987,0.94766617,CEP
4655527846324000128,16.323711,0.9399414,CEP
4655528327360419456,15.824152,0.95919514,CEP
4655528499159192832,16.208136,0.9473734,CEP
4655529804829099136,14.900479,1.1008139,CEP
4655530388944603392,16.395144,0.8885994,CEP
4655534580833718272,16.519903,0.94561005,CEP
4655535714704955392,16.394306,0.8925247,CEP
4655536230101022592,16.405619,0.95720005,CEP
4655536848576391680,16.875343,0.78162956,CEP
3032364185065814272,13.121768,1.4755116,CEP
4655542002536898304,15.905757,0.8457689,CEP
4655547809333531264,16.099998,0.7592344,CEP
4655549321161923328,16.200617,0.7873869,CEP
4655553135093645056,16.89425,0.75743484,CEP
4655561347071889408,16.224867,0.8296118,CEP
4655564954844317184,16.47649,0.732481,CEP
4655566810269987584,17.59329,0.84072685,CEP
5862314734807871872,15.823363,2.3767042,CEP
4655570177525294720,16.403704,0.81404686,CEP
4655572032951409280,16.864998,0.72047806,CEP
4655572750178648192,18.346745,0.6805229,CEP
4655573338621563776,16.542383,0.81772995,CEP
4655576121760410368,13.2843275,0.9478607,CEP
4655576327918605952,16.247784,0.733263,CEP
4655577015113108608,16.302902,0.8585148,CEP
4655577633588582144,15.647826,0.81528854,CEP
4655583371665610880,15.956734,0.9288902,CEP
4655590724650329984,15.952359,0.68602085,CEP
4655623499507921280,18.30235,0.58675957,CEP
3356119713188276096,10.406006,1.3092108,CEP
4655710365224434048,16.285343,0.8940382,CEP
4655742835179944704,16.822115,0.6767731,CEP
4655744759325293696,15.274845,0.7692957,CEP
4655747611183837312,15.032969,0.74943066,CEP
2069600708216959104,15.609139,4.3099146,CEP
2069606682514776832,12.671753,3.5659723,CEP
4655753761576600320,15.863868,0.8669462,CEP
4655760049408795008,15.553937,0.6396084,CEP
4655760908402247168,15.2544565,0.9116068,CEP
4655762214072306816,15.237161,0.77980137,CEP
4655773140470415360,15.320317,0.90324116,CEP
4655774721018271872,17.155645,0.73680496,CEP
4655778294431132160,16.153044,1.359189,CEP
4655784273025471744,15.061285,0.97356224,CEP
5543722994310379136,14.329938,1.3019514,CEP
4655843199978417408,16.875565,0.6827183,CEP
4656030147011004288,18.1936,0.4636345,CEP
2069946362888214400,17.835321,4.9417953,CEP
4656162058347627136,14.582795,0.94114685,CEP
4656162779902010240,15.517605,0.7638998,CEP
4656166731271832832,15.05441,0.86535835,CEP
4656167246667858304,15.967542,0.9437227,CEP
4656184529616501504,15.849757,0.978302,CEP
4656185904005736064,16.934649,0.82353973,CEP
4656198307872776576,15.62762,0.7448511,CEP
2070037794150998144,17.431551,5.0022087,CEP
3356940155020790656,6.7501097,1.322217,CEP
4656199441744123648,15.3455305,0.763525,CEP
4656206313691619968,15.677547,0.9710598,CEP
4656212223566960384,16.01159,0.7544298,CEP
4656221191458263552,16.495346,1.0621614,CEP
