,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bachelor's degrees awarded in Psychology (Degrees awarded),109099,114446,117312,117573,117447,116859,116436,116550,119989,126944
The number of groundskeepers in Utah (Laborers),8070,9200,9900,9800,9640,9450,9510,9510,9990,11400
