ObjectClass,Redshift,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,Teff,logg,FeH
QSO,5.490.021,2.068.554,1.870.048,1.798.976,1.740.715,1.699.406,7.973.647,1.928.583,1.635.241,171.434,2.259.275,-9999,-9999,-9999
QSO,6.170.309,1.749.972,1.720.739,1.698.346,1.659.755,1.646.987,2.002.465,2.054.546,1.619.444,1.213.172,2.254.961,-9999,-9999,-9999
QSO,5.686.806,2.022.901,1.879.506,1.804.033,1.764.611,1.727.103,502.255,1.740.532,1.395.765,1.437.717,1.845.836,-9999,-9999,-9999
QSO,6.639.756,2.057.795,1.876.546,1.801.008,1.755.592,1.724.399,6.070.134,2.304.913,1.103.579,1.147.646,1.903.963,-9999,-9999,-9999
QSO,6.500.977,2.109.541,1.938.952,1.832.721,1.735.655,1.705.029,1.024.976,2.248.572,155.251,1.551.508,1.690.686,-9999,-9999,-9999
QSO,6.623.235,1.973.899,1.884.503,18.304,1.787.534,17.575,3.927.723,1.857.425,156.747,1.670.554,2.456.371,-9999,-9999,-9999
QSO,6.550.524,2.034.454,1.867.603,1.795.179,1.739.914,1.711.965,4.680.685,2.361.511,2.249.214,1.828.884,2.167.461,-9999,-9999,-9999
QSO,5.815.266,1.993.269,1.809.295,1.715.574,1.676.332,1.656.908,3.457.892,1.940.605,1.473.793,2.394.186,1.294.763,-9999,-9999,-9999
QSO,467.449,1.826.585,1.694.973,16.337,1.584.907,1.561.953,2.276.976,1.368.645,1.356.499,2.030.033,1.717.658,-9999,-9999,-9999
QSO,62.575,2.062.449,1.898.302,1.833.738,1.780.347,1.757.436,5.145.274,2.274.076,1.515.353,1.163.349,1.693.375,-9999,-9999,-9999
QSO,6.629.963,2.023.146,1.860.329,1.789.718,1.746.562,1.719.311,5.268.844,224.209,1.328.508,1.579.493,2.044.405,-9999,-9999,-9999
