X,Y,Distancia,LabelLinea,Linea,Nodo,Nombre,Package,Ruta,Sublinea,ObjectId
-667050.711518644,4495478.81322749,5035,02,2,18,Resolana (Feria),540,211,210,61
-667050.711518644,4495478.81322749,2448,C1,81,18,Resolana (Feria),540,8111,8110,62
-667050.711518644,4495478.81322749,292,C3,83,18,Resolana (Feria),540,8311,8310,63
-659200.097903724,4496575.27076534,11085,A8,110,795,Escritor A. Grosso (Ildefonso Marañon),540,11011,11010,64
-667050.711518644,4495478.81322749,4499,A2,102,18,Resolana (Feria),540,10211,10210,65
-667050.711518644,4495478.81322749,4872,A2,102,18,Resolana (Feria),540,10213,10211,66
-666635.669075762,4495439.25522203,2781,C1,81,19,Parlamento de Andalucía (Macarena) [C],540,8111,8110,67
-666635.669075762,4495439.25522203,625,C3,83,19,Parlamento de Andalucía (Macarena) [C],540,8311,8310,68
-666116.746579127,4494970.98529605,2544,01,1,20,Ronda de Capuchinos (San Julián),540,111,110,69
-666116.746579127,4494970.98529605,3106,10,10,20,Ronda de Capuchinos (San Julián),540,1012,1010,70
-666116.746579127,4494970.98529605,3368,C1,81,20,Ronda de Capuchinos (San Julián),540,8111,8110,71
-666116.746579127,4494970.98529605,1212,C3,83,20,Ronda de Capuchinos (San Julián),540,8311,8310,72
-665857.869229369,4494683.93973016,2877,01,1,21,Ronda de Capuchinos (La Trinidad),540,111,110,73
-665857.869229369,4494683.93973016,3062,11,11,21,Ronda de Capuchinos (La Trinidad),540,1112,1110,74
-665857.869229369,4494683.93973016,3701,C1,81,21,Ronda de Capuchinos (La Trinidad),540,8111,8110,75
-666090.789834973,4494237.61818538,4875,01,1,22,María Auxiliadora (Puerta Osario),540,112,110,76
-666090.789834973,4494237.61818538,1453,C4,84,22,María Auxiliadora (Puerta Osario),540,8412,8410,77
-665893.433680475,4494842.16126503,5417,01,1,23,Ronda de Capuchinos (Avenida Miraflores),540,112,110,78
-665893.433680475,4494842.16126503,1034,10,10,23,Ronda de Capuchinos (Avenida Miraflores),540,1011,1010,79
-665893.433680475,4494842.16126503,931,16,16,23,Ronda de Capuchinos (Avenida Miraflores),540,1611,1610,80
-665893.433680475,4494842.16126503,4235,C2,82,23,Ronda de Capuchinos (Avenida Miraflores),540,8212,8210,81
-665893.433680475,4494842.16126503,1995,C4,84,23,Ronda de Capuchinos (Avenida Miraflores),540,8412,8410,82
-666090.789834973,4494962.96715148,5604,01,1,24,Ronda de Capuchinos (León XIII),540,112,110,83
-666090.789834973,4494962.96715148,1221,10,10,24,Ronda de Capuchinos (León XIII),540,1011,1010,84
-666090.789834973,4494962.96715148,4422,C2,82,24,Ronda de Capuchinos (León XIII),540,8212,8210,85
-666090.789834973,4494962.96715148,2182,C4,84,24,Ronda de Capuchinos (León XIII),540,8412,8410,86
-666301.257076644,4495205.1176488,5869,01,1,25,Muñoz León (Sánchez Perrier),540,112,110,87
-666301.257076644,4495205.1176488,1486,10,10,25,Muñoz León (Sánchez Perrier),540,1011,1010,88
-666301.257076644,4495205.1176488,1383,16,16,25,Muñoz León (Sánchez Perrier),540,1611,1610,89
-666301.257076644,4495205.1176488,4687,C2,82,25,Muñoz León (Sánchez Perrier),540,8212,8210,90
-666301.257076644,4495205.1176488,2447,C4,84,25,Muñoz León (Sánchez Perrier),540,8412,8410,91
-666641.932667286,4495459.56877416,5039,C2,82,26,Parlamento de Andalucía (Macarena) [C],540,8212,8210,92
-666641.932667286,4495459.56877416,2609,A2,102,26,Parlamento de Andalucía (Macarena) [C],540,10212,10210,93
-666641.932667286,4495459.56877416,2609,A2,102,26,Parlamento de Andalucía (Macarena) [C],540,10214,10211,94
-667248.651577267,4495524.25165106,7015,13,13,27,Resolana (Barqueta),540,1312,1310,95
-667248.651577267,4495524.25165106,3288,C4,84,27,Resolana (Barqueta),540,8412,8410,96
-667248.651577267,4495524.25165106,3098,A2,102,27,Resolana (Barqueta),540,10212,10210,97
-667248.651577267,4495524.25165106,3098,A2,102,27,Resolana (Barqueta),540,10214,10211,98
-666608.491468488,4495467.05271548,9055,02,2,28,Parlamento de Andalucía (Macarena) [C],540,212,210,99
-667755.949268908,4495128.14205348,2569,06,6,29,Torneo (Puerta de San Juan),540,611,610,100
-667755.949268908,4495128.14205348,3855,C4,84,29,Torneo (Puerta de San Juan),540,8412,8410,101
-667755.949268908,4495128.14205348,3673,A2,102,29,Torneo (Puerta de San Juan),540,10212,10210,102
-667755.949268908,4495128.14205348,3673,A2,102,29,Torneo (Puerta de San Juan),540,10214,10211,103
-668205.388376911,4494457.83674956,3211,06,6,30,Torneo (Baños),540,611,610,104
-668205.388376911,4494457.83674956,4497,C4,84,30,Torneo (Baños),540,8412,8410,105
-668205.388376911,4494457.83674956,4315,A2,102,30,Torneo (Baños),540,10212,10210,106
-668205.388376911,4494457.83674956,4315,A2,102,30,Torneo (Baños),540,10214,10211,107
