PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,PRES_ADJUSTED (decibar),PRES_ADJUSTED_QC,TEMP_ADJUSTED (degree_Celsius),TEMP_ADJUSTED_QC,PSAL_ADJUSTED (psu),PSAL_ADJUSTED_QC
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,0.3,1,33.754,1,5.632,1,0.3,1,5.632,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,1.5,1,33.753,1,5.634,1,1.5,1,5.634,1,33.753,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,3.4,1,33.755,1,5.634,1,3.4,1,5.634,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,4.7,1,33.755,1,5.633,1,4.7,1,5.633,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,6.1,1,33.755,1,5.633,1,6.1,1,5.633,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,7.6,1,33.755,1,5.633,1,7.6,1,5.633,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,9.5,1,33.755,1,5.633,1,9.5,1,5.633,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,11.1,1,33.755,1,5.633,1,11.1,1,5.633,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,13.4,1,33.754,1,5.633,1,13.4,1,5.633,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,15.8,1,33.756,1,5.632,1,15.8,1,5.632,1,33.756,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,17.7,1,33.755,1,5.632,1,17.7,1,5.632,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,19.7,1,33.754,1,5.632,1,19.7,1,5.632,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,21.9,1,33.754,1,5.633,1,21.9,1,5.633,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,23.5,1,33.754,1,5.632,1,23.5,1,5.632,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,25.3,1,33.754,1,5.632,1,25.3,1,5.632,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,27.7,1,33.754,1,5.632,1,27.7,1,5.632,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,30.2,1,33.755,1,5.632,1,30.2,1,5.632,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,32.3,1,33.755,1,5.632,1,32.3,1,5.632,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,35.4,1,33.755,1,5.628,1,35.4,1,5.628,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,38.4,1,33.752,1,5.63,1,38.4,1,5.63,1,33.752,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,40.3,1,33.754,1,5.634,1,40.3,1,5.634,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,42.0,1,33.755,1,5.633,1,42.0,1,5.633,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,43.6,1,33.755,1,5.634,1,43.6,1,5.634,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,45.2,1,33.754,1,5.634,1,45.2,1,5.634,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,47.3,1,33.754,1,5.634,1,47.3,1,5.634,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,49.4,1,33.754,1,5.634,1,49.4,1,5.634,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,51.5,1,33.754,1,5.634,1,51.5,1,5.634,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,53.8,1,33.754,1,5.633,1,53.8,1,5.633,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,55.7,1,33.754,1,5.635,1,55.7,1,5.635,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,57.3,1,33.754,1,5.634,1,57.3,1,5.634,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,59.6,1,33.754,1,5.634,1,59.6,1,5.634,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,61.8,1,33.754,1,5.634,1,61.8,1,5.634,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,63.6,1,33.755,1,5.633,1,63.6,1,5.633,1,33.755,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,65.1,1,33.754,1,5.635,1,65.1,1,5.635,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,67.3,1,33.754,1,5.635,1,67.3,1,5.635,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,69.5,1,33.754,1,5.635,1,69.5,1,5.635,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,71.5,1,33.754,1,5.635,1,71.5,1,5.635,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,73.7,1,33.754,1,5.635,1,73.7,1,5.635,1,33.754,1
5905604,2025-04-11T05:44:20Z,1,-56.13395,150.25297,1,75.3,1,33.755,1,5.633,1,75.3,1,5.633,1,33.755,1
