PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,PRES_ADJUSTED (decibar),PRES_ADJUSTED_QC,TEMP_ADJUSTED (degree_Celsius),TEMP_ADJUSTED_QC,PSAL_ADJUSTED (psu),PSAL_ADJUSTED_QC
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,0.4,1,,,,,0.4,1,,,,
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,1.3,1,,,17.075,1,1.3,1,17.075,1,,
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,3.1,1,35.235,1,17.074,1,3.1,1,17.074,1,35.2355,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,4.8,1,35.243,1,17.063,1,4.8,1,17.063,1,35.2431,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,5.8,1,35.243,1,17.062,1,5.8,1,17.062,1,35.243,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,7.2,1,35.242,1,17.064,1,7.2,1,17.064,1,35.2428,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,9.3,1,35.242,1,17.044,1,9.3,1,17.044,1,35.2429,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,11.2,1,35.243,1,17.024,1,11.2,1,17.024,1,35.2437,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,13.2,1,35.243,1,17.007,1,13.2,1,17.007,1,35.2431,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,15.2,1,35.242,1,17.006,1,15.2,1,17.006,1,35.2425,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,17.4,1,35.244,1,16.993,1,17.4,1,16.993,1,35.2443,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,19.5,1,35.243,1,16.986,1,19.5,1,16.986,1,35.2439,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,21.5,1,35.248,1,16.965,1,21.5,1,16.965,1,35.2494,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,23.4,1,35.258,1,16.934,1,23.4,1,16.934,1,35.2602,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,25.3,1,35.286,1,16.884,1,25.3,1,16.884,1,35.2887,1
5905585,2025-01-03T00:53:20Z,1,-39.06278,132.49622,1,27.6,1,35.301,1,16.809,1,27.6,1,16.809,1,35.3029,1
