PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,PRES_ADJUSTED (decibar),PRES_ADJUSTED_QC,TEMP_ADJUSTED (degree_Celsius),TEMP_ADJUSTED_QC,PSAL_ADJUSTED (psu),PSAL_ADJUSTED_QC
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,0.3,1,35.329,1,28.458,1,0.3,1,28.458,1,35.329,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,1.6,1,35.327,1,28.456,1,1.6,1,28.456,1,35.327,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,3.3,1,35.327,1,28.457,1,3.3,1,28.457,1,35.327,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,4.8,1,35.327,1,28.453,1,4.8,1,28.453,1,35.327,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,6.0,1,35.328,1,28.453,1,6.0,1,28.453,1,35.328,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,7.6,1,35.328,1,28.449,1,7.6,1,28.449,1,35.328,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,9.5,1,35.327,1,28.445,1,9.5,1,28.445,1,35.327,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,11.6,1,35.329,1,28.429,1,11.6,1,28.429,1,35.329,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,13.5,1,35.333,1,28.422,1,13.5,1,28.422,1,35.333,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,15.5,1,35.348,1,28.419,1,15.5,1,28.419,1,35.348,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,17.6,1,35.362,1,28.417,1,17.6,1,28.417,1,35.362,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,19.3,1,35.377,1,28.413,1,19.3,1,28.413,1,35.377,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,21.4,1,35.422,1,28.384,1,21.4,1,28.384,1,35.422,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,23.6,1,35.456,1,28.347,1,23.6,1,28.347,1,35.456,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,25.5,1,35.457,1,28.337,1,25.5,1,28.337,1,35.457,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,27.3,1,35.459,1,28.334,1,27.3,1,28.334,1,35.459,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,29.2,1,35.461,1,28.324,1,29.2,1,28.324,1,35.461,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,31.3,1,35.462,1,28.298,1,31.3,1,28.298,1,35.462,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,33.4,1,35.475,1,27.925,1,33.4,1,27.925,1,35.475,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,35.3,1,35.475,1,27.413,1,35.3,1,27.413,1,35.475,1
1901772,2025-03-17T05:43:20Z,1,-22.67458,66.98973,1,37.4,1,35.477,1,26.809,1,37.4,1,26.809,1,35.477,1
