PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,PRES_ADJUSTED (decibar),PRES_ADJUSTED_QC,TEMP_ADJUSTED (degree_Celsius),TEMP_ADJUSTED_QC,PSAL_ADJUSTED (psu),PSAL_ADJUSTED_QC
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,0.2,1,35.683,1,19.958,1,0.2,1,19.958,1,35.683,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,1.2,1,35.687,1,19.956,1,1.2,1,19.956,1,35.687,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,3.4,1,35.687,1,19.958,1,3.4,1,19.958,1,35.687,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,5.4,1,35.687,1,19.96,1,5.4,1,19.96,1,35.687,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,7.0,1,35.687,1,19.959,1,7.0,1,19.959,1,35.687,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,9.2,1,35.686,1,19.961,1,9.2,1,19.961,1,35.686,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,11.5,1,35.687,1,19.959,1,11.5,1,19.959,1,35.687,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,13.4,1,35.687,1,19.963,1,13.4,1,19.963,1,35.687,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,15.2,1,35.688,1,19.962,1,15.2,1,19.962,1,35.688,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,17.7,1,35.687,1,19.961,1,17.7,1,19.961,1,35.687,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,19.5,1,35.687,1,19.961,1,19.5,1,19.961,1,35.687,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,21.3,1,35.687,1,19.963,1,21.3,1,19.963,1,35.687,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,23.7,1,35.687,1,19.962,1,23.7,1,19.962,1,35.687,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,25.4,1,35.686,1,19.964,1,25.4,1,19.964,1,35.686,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,27.2,1,35.687,1,19.961,1,27.2,1,19.961,1,35.687,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,29.4,1,35.687,1,19.961,1,29.4,1,19.961,1,35.687,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,31.7,1,35.694,1,19.956,1,31.7,1,19.956,1,35.694,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,33.4,1,35.693,1,19.959,1,33.4,1,19.959,1,35.693,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,35.1,1,35.694,1,19.957,1,35.1,1,19.957,1,35.694,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,37.3,1,35.694,1,19.958,1,37.3,1,19.958,1,35.694,1
5905601,2025-03-10T22:31:20Z,1,-41.37485,148.87986,1,39.4,1,35.697,1,19.948,1,39.4,1,19.948,1,35.697,1
