PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,PRES_ADJUSTED (decibar),PRES_ADJUSTED_QC,TEMP_ADJUSTED (degree_Celsius),TEMP_ADJUSTED_QC,PSAL_ADJUSTED (psu),PSAL_ADJUSTED_QC
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,4.24,1,33.7835,1,3.826,1,4.94,1,3.826,1,33.7836,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,5.99,1,33.7898,1,3.82,1,6.69,1,3.82,1,33.7896,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,8.02,1,33.7975,1,3.815,1,8.72,1,3.815,1,33.7971,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,9.55,1,33.7977,1,3.814,1,10.25,1,3.814,1,33.7974,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,10.0,1,33.7979,1,3.814,1,10.7,1,3.814,1,33.7976,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,11.97,1,33.7981,1,3.813,1,12.67,1,3.813,1,33.7978,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,14.0,1,33.7984,1,3.813,1,14.7,1,3.813,1,33.798,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,14.63,1,33.7985,1,3.813,1,15.33,1,3.813,1,33.7981,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,16.01,1,33.7985,1,3.813,1,16.71,1,3.813,1,33.7981,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,18.01,1,33.7984,1,3.812,1,18.71,1,3.812,1,33.798,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,19.58,1,33.7984,1,3.812,1,20.28,1,3.812,1,33.7981,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,19.98,1,33.7985,1,3.812,1,20.68,1,3.812,1,33.7982,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,21.98,1,33.7988,1,3.811,1,22.68,1,3.811,1,33.7985,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,24.01,1,33.7986,1,3.81,1,24.71,1,3.81,1,33.7983,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,26.02,1,33.7988,1,3.809,1,26.72,1,3.809,1,33.7985,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,28.01,1,33.7991,1,3.808,1,28.71,1,3.808,1,33.7988,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,29.32,1,33.7993,1,3.807,1,30.02,1,3.807,1,33.799,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,29.98,1,33.7993,1,3.807,1,30.68,1,3.807,1,33.7989,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,31.98,1,33.7993,1,3.807,1,32.68,1,3.807,1,33.7989,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,33.97,1,33.7993,1,3.807,1,34.67,1,3.807,1,33.799,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,36.0,1,33.7996,1,3.804,1,36.7,1,3.804,1,33.7992,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,38.02,1,33.7995,1,3.804,1,38.72,1,3.804,1,33.7994,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,39.77,1,33.7995,1,3.799,1,40.47,1,3.799,1,33.7994,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,40.0,1,33.7998,1,3.798,1,40.7,1,3.798,1,33.7997,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,41.99,1,33.8001,1,3.792,1,42.69,1,3.792,1,33.7998,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,43.97,1,33.8001,1,3.791,1,44.67,1,3.791,1,33.7999,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,45.99,1,33.7999,1,3.788,1,46.69,1,3.788,1,33.7999,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,48.01,1,33.8003,1,3.781,1,48.71,1,3.781,1,33.8007,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,48.59,1,33.8018,1,3.776,1,49.29,1,3.776,1,33.8019,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,50.02,1,33.8013,1,3.763,1,50.72,1,3.763,1,33.8018,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,51.99,1,33.8023,1,3.743,1,52.69,1,3.743,1,33.8027,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,53.99,1,33.8032,1,3.724,1,54.69,1,3.724,1,33.803,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,56.03,1,33.803,1,3.72,1,56.73,1,3.72,1,33.8027,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,58.0,1,33.8028,1,3.718,1,58.7,1,3.718,1,33.8027,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,58.85,1,33.8031,1,3.717,1,59.55,1,3.717,1,33.8128,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,59.97,1,33.8026,1,3.711,1,60.67,1,3.711,1,33.803,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,61.99,1,33.8022,1,3.695,1,62.69,1,3.695,1,33.8057,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,64.1,1,33.8044,1,3.606,1,64.8,1,3.606,1,33.8155,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,65.92,1,33.8107,1,3.376,1,66.62,1,3.376,1,33.833,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,67.97,1,33.8369,1,2.849,1,68.67,1,2.849,1,33.8616,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,69.71,1,33.8453,1,2.447,1,70.41,1,2.447,1,33.8551,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,70.0,1,33.8653,1,2.273,1,70.7,1,2.273,1,33.8852,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,72.0,1,33.8873,1,1.813,1,72.7,1,1.813,1,33.8928,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,73.98,1,33.8901,1,1.696,1,74.68,1,1.696,1,33.8996,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,75.97,1,33.9082,1,1.475,1,76.67,1,1.475,1,33.912,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,77.99,1,33.9129,1,1.384,1,78.69,1,1.384,1,33.916,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,79.82,1,33.9177,1,1.311,1,80.52,1,1.311,1,33.9203,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,79.98,1,33.9166,1,1.307,1,80.68,1,1.307,1,33.9194,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,81.97,1,33.9198,1,1.238,1,82.67,1,1.238,1,33.9224,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,83.99,1,33.9219,1,1.173,1,84.69,1,1.173,1,33.9252,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,86.01,1,33.9253,1,1.09,1,86.71,1,1.09,1,33.9263,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,87.99,1,33.9244,1,1.062,1,88.69,1,1.062,1,33.9266,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,89.79,1,33.9264,1,1.002,1,90.49,1,1.002,1,33.9268,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,89.98,1,33.9259,1,1.005,1,90.68,1,1.005,1,33.9265,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,92.01,1,33.9257,1,0.983,1,92.71,1,0.983,1,33.9264,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,94.02,1,33.9259,1,0.959,1,94.72,1,0.959,1,33.9267,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,96.02,1,33.9262,1,0.931,1,96.72,1,0.931,1,33.9258,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,97.99,1,33.9268,1,0.931,1,98.69,1,0.931,1,33.9266,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,99.52,1,33.9269,1,0.927,1,100.22,1,0.927,1,33.9277,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,99.96,1,33.9266,1,0.928,1,100.66,1,0.928,1,33.9281,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,101.99,1,33.9281,1,0.887,1,102.69,1,0.887,1,33.9289,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,104.0,1,33.9272,1,0.861,1,104.7,1,0.861,1,33.9273,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,105.99,1,33.927,1,0.85,1,106.69,1,0.85,1,33.9283,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,107.99,1,33.929,1,0.813,1,108.69,1,0.813,1,33.9297,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,109.82,1,33.9304,1,0.789,1,110.52,1,0.789,1,33.9301,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,109.96,1,33.9297,1,0.79,1,110.66,1,0.79,1,33.9296,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,111.96,1,33.9303,1,0.782,1,112.66,1,0.782,1,33.9297,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,114.01,1,33.9325,1,0.787,1,114.71,1,0.787,1,33.9317,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,116.02,1,33.936,1,0.796,1,116.72,1,0.796,1,33.9358,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,118.03,1,33.9364,1,0.789,1,118.73,1,0.789,1,33.9365,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,119.55,1,33.9401,1,0.78,1,120.25,1,0.78,1,33.9399,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,120.01,1,33.9368,1,0.779,1,120.71,1,0.779,1,33.9368,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,121.99,1,33.9399,1,0.77,1,122.69,1,0.77,1,33.9397,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,124.0,1,33.9423,1,0.765,1,124.7,1,0.765,1,33.9418,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,125.98,1,33.9434,1,0.767,1,126.68,1,0.767,1,33.9432,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,128.0,1,33.944,1,0.761,1,128.7,1,0.761,1,33.9438,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,129.55,1,33.9445,1,0.757,1,130.25,1,0.757,1,33.945,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,130.02,1,33.9445,1,0.757,1,130.72,1,0.757,1,33.9446,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,132.02,1,33.9455,1,0.746,1,132.72,1,0.746,1,33.9454,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,134.03,1,33.9457,1,0.74,1,134.73,1,0.74,1,33.9463,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,136.02,1,33.9504,1,0.719,1,136.72,1,0.719,1,33.9518,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,137.98,1,33.9561,1,0.681,1,138.68,1,0.681,1,33.9568,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,139.57,1,33.9564,1,0.662,1,140.27,1,0.662,1,33.9576,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,139.97,1,33.9569,1,0.658,1,140.67,1,0.658,1,33.9588,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,142.01,1,33.9598,1,0.608,1,142.71,1,0.608,1,33.9624,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,144.01,1,33.9649,1,0.541,1,144.71,1,0.541,1,33.9654,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,145.98,1,33.9668,1,0.521,1,146.68,1,0.521,1,33.966,1
5905592,2025-01-23T21:25:48Z,1,-56.96724,142.06987,1,148.01,1,33.9734,1,0.534,1,148.71,1,0.534,1,33.9753,1
