PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,PRES_ADJUSTED (decibar),PRES_ADJUSTED_QC,TEMP_ADJUSTED (degree_Celsius),TEMP_ADJUSTED_QC,PSAL_ADJUSTED (psu),PSAL_ADJUSTED_QC
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,0.4,1,33.561,1,2.414,1,0.4,1,2.414,1,33.561,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,1.7,1,33.561,1,2.413,1,1.7,1,2.413,1,33.561,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,3.5,1,33.557,1,2.414,1,3.5,1,2.414,1,33.557,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,4.9,1,33.562,1,2.406,1,4.9,1,2.406,1,33.562,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,6.0,1,33.562,1,2.405,1,6.0,1,2.405,1,33.562,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,7.5,1,33.562,1,2.402,1,7.5,1,2.402,1,33.562,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,9.7,1,33.563,1,2.403,1,9.7,1,2.403,1,33.563,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,11.7,1,33.578,1,2.442,1,11.7,1,2.442,1,33.578,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,13.5,1,33.579,1,2.444,1,13.5,1,2.444,1,33.579,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,15.8,1,33.588,1,2.452,1,15.8,1,2.452,1,33.588,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,17.5,1,33.621,1,2.533,1,17.5,1,2.533,1,33.621,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,19.7,1,33.635,1,2.581,1,19.7,1,2.581,1,33.635,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,21.5,1,33.627,1,2.392,1,21.5,1,2.392,1,33.627,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,23.5,1,33.638,1,2.643,1,23.5,1,2.643,1,33.638,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,25.4,1,33.65,1,2.68,1,25.4,1,2.68,1,33.65,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,27.3,1,33.632,1,2.384,1,27.3,1,2.384,1,33.632,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,29.3,1,33.623,1,1.748,1,29.3,1,1.748,1,33.623,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,31.5,1,33.658,1,1.467,1,31.5,1,1.467,1,33.658,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,33.3,1,33.675,1,1.352,1,33.3,1,1.352,1,33.675,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,35.2,1,33.681,1,1.27,1,35.2,1,1.27,1,33.681,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,37.3,1,33.705,1,0.943,1,37.3,1,0.943,1,33.705,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,39.5,1,33.797,1,0.284,1,39.5,1,0.284,1,33.797,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,41.5,1,33.826,1,0.083,1,41.5,1,0.083,1,33.826,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,43.6,1,33.842,1,-0.014,1,43.6,1,-0.014,1,33.842,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,45.7,1,33.91,1,-0.431,1,45.7,1,-0.431,1,33.91,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,47.7,1,33.953,1,-0.462,1,47.7,1,-0.462,1,33.953,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,49.6,1,33.969,1,-0.44,1,49.6,1,-0.44,1,33.969,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,51.6,1,34.004,1,-0.536,1,51.6,1,-0.536,1,34.004,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,53.6,1,34.005,1,-0.58,1,53.6,1,-0.58,1,34.005,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,55.5,1,34.019,1,-0.597,1,55.5,1,-0.597,1,34.019,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,57.3,1,34.036,1,-0.618,1,57.3,1,-0.618,1,34.036,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,59.7,1,34.046,1,-0.645,1,59.7,1,-0.645,1,34.046,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,61.7,1,34.047,1,-0.646,1,61.7,1,-0.646,1,34.047,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,63.6,1,34.056,1,-0.659,1,63.6,1,-0.659,1,34.056,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,65.4,1,34.059,1,-0.68,1,65.4,1,-0.68,1,34.059,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,67.5,1,34.069,1,-0.692,1,67.5,1,-0.692,1,34.069,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,69.4,1,34.075,1,-0.692,1,69.4,1,-0.692,1,34.075,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,71.4,1,34.08,1,-0.733,1,71.4,1,-0.733,1,34.08,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,73.5,1,34.097,1,-0.735,1,73.5,1,-0.735,1,34.097,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,75.4,1,34.107,1,-0.68,1,75.4,1,-0.68,1,34.107,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,77.3,1,34.122,1,-0.648,1,77.3,1,-0.648,1,34.122,1
7900695,2025-02-09T05:36:20Z,1,-61.99418,83.08338,1,79.3,1,34.127,1,-0.629,1,79.3,1,-0.629,1,34.127,1
