PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,PRES_ADJUSTED (decibar),PRES_ADJUSTED_QC,TEMP_ADJUSTED (degree_Celsius),TEMP_ADJUSTED_QC,PSAL_ADJUSTED (psu),PSAL_ADJUSTED_QC
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,0.1,1,33.806,1,5.512,1,0.1,1,5.512,1,33.806,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,1.4,1,33.806,1,5.512,1,1.4,1,5.512,1,33.806,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,3.3,1,33.803,1,5.511,1,3.3,1,5.511,1,33.803,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,4.7,1,33.807,1,5.506,1,4.7,1,5.506,1,33.807,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,5.6,1,33.807,1,5.506,1,5.6,1,5.506,1,33.807,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,7.3,1,33.806,1,5.506,1,7.3,1,5.506,1,33.806,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,9.3,1,33.807,1,5.506,1,9.3,1,5.506,1,33.807,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,10.9,1,33.806,1,5.506,1,10.9,1,5.506,1,33.806,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,13.0,1,33.807,1,5.507,1,13.0,1,5.507,1,33.807,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,15.4,1,33.806,1,5.508,1,15.4,1,5.508,1,33.806,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,17.7,1,33.807,1,5.508,1,17.7,1,5.508,1,33.807,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,19.5,1,33.806,1,5.508,1,19.5,1,5.508,1,33.806,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,21.2,1,33.807,1,5.508,1,21.2,1,5.508,1,33.807,1
5905595,2025-02-13T05:57:20Z,1,-51.96349,116.18117,1,23.0,1,33.807,1,5.509,1,23.0,1,5.509,1,33.807,1
