PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,PRES_ADJUSTED (decibar),PRES_ADJUSTED_QC,TEMP_ADJUSTED (degree_Celsius),TEMP_ADJUSTED_QC,PSAL_ADJUSTED (psu),PSAL_ADJUSTED_QC
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,0.4,1,,,,,0.4,1,,,,
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,1.5,1,,,4.072,1,1.5,1,4.072,1,,
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,3.4,1,33.856,1,4.073,1,3.4,1,4.073,1,33.8561,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,5.0,1,33.859,1,4.072,1,5.0,1,4.072,1,33.859,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,6.0,1,33.86,1,4.072,1,6.0,1,4.072,1,33.8601,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,7.3,1,33.859,1,4.071,1,7.3,1,4.071,1,33.859,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,9.6,1,33.859,1,4.072,1,9.6,1,4.072,1,33.8591,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,11.5,1,33.859,1,4.071,1,11.5,1,4.071,1,33.859,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,13.3,1,33.858,1,4.071,1,13.3,1,4.071,1,33.858,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,15.6,1,33.859,1,4.072,1,15.6,1,4.072,1,33.8591,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,17.5,1,33.859,1,4.071,1,17.5,1,4.071,1,33.859,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,19.4,1,33.859,1,4.071,1,19.4,1,4.071,1,33.859,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,21.6,1,33.859,1,4.071,1,21.6,1,4.071,1,33.859,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,23.5,1,33.859,1,4.071,1,23.5,1,4.071,1,33.8591,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,25.4,1,33.859,1,4.07,1,25.4,1,4.07,1,33.8597,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,27.3,1,33.862,1,4.056,1,27.3,1,4.056,1,33.8625,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,29.2,1,33.861,1,4.047,1,29.2,1,4.047,1,33.8615,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,31.3,1,33.861,1,4.037,1,31.3,1,4.037,1,33.8612,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,33.4,1,33.86,1,4.033,1,33.4,1,4.033,1,33.8602,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,35.4,1,33.855,1,4.031,1,35.4,1,4.031,1,33.8575,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,37.4,1,33.851,1,3.995,1,37.4,1,3.995,1,33.867,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,39.4,1,33.881,1,3.671,1,39.4,1,3.671,1,33.9011,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,41.5,1,33.869,1,3.232,1,41.5,1,3.232,1,33.8799,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,43.7,1,33.876,1,2.991,1,43.7,1,2.991,1,33.8898,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,45.7,1,33.879,1,2.706,1,45.7,1,2.706,1,33.8863,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,47.7,1,33.878,1,2.559,1,47.7,1,2.559,1,33.8853,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,49.7,1,33.878,1,2.414,1,49.7,1,2.414,1,33.8864,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,51.4,1,33.883,1,2.267,1,51.4,1,2.267,1,33.8878,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,53.1,1,33.883,1,2.189,1,53.1,1,2.189,1,33.8906,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,55.2,1,33.893,1,2.031,1,55.2,1,2.031,1,33.9004,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,57.3,1,33.893,1,1.88,1,57.3,1,1.88,1,33.9038,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,59.4,1,33.907,1,1.65,1,59.4,1,1.65,1,33.9108,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,61.6,1,33.908,1,1.566,1,61.6,1,1.566,1,33.9105,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,63.6,1,33.91,1,1.515,1,63.6,1,1.515,1,33.9112,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,65.5,1,33.912,1,1.493,1,65.5,1,1.493,1,33.9138,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,67.4,1,33.916,1,1.458,1,67.4,1,1.458,1,33.9171,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,69.4,1,33.91,1,1.438,1,69.4,1,1.438,1,33.9121,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,71.4,1,33.913,1,1.397,1,71.4,1,1.397,1,33.9155,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,73.5,1,33.915,1,1.343,1,73.5,1,1.343,1,33.9158,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,75.6,1,33.915,1,1.328,1,75.6,1,1.328,1,33.9171,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,77.2,1,33.917,1,1.296,1,77.2,1,1.296,1,33.9202,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,79.3,1,33.917,1,1.232,1,79.3,1,1.232,1,33.9224,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,81.5,1,33.916,1,1.113,1,81.5,1,1.113,1,33.9179,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,83.2,1,33.917,1,1.083,1,83.2,1,1.083,1,33.9201,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,85.4,1,33.919,1,1.016,1,85.4,1,1.016,1,33.9213,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,87.5,1,33.916,1,0.969,1,87.5,1,0.969,1,33.9177,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,89.2,1,33.915,1,0.944,1,89.2,1,0.944,1,33.9186,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,91.4,1,33.917,1,0.864,1,91.4,1,0.864,1,33.9171,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,93.6,1,33.919,1,0.861,1,93.6,1,0.861,1,33.9181,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,95.3,1,33.921,1,0.88,1,95.3,1,0.88,1,33.9232,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,97.5,1,33.922,1,0.835,1,97.5,1,0.835,1,33.9278,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,99.7,1,33.919,1,0.708,1,99.7,1,0.708,1,33.9201,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,101.5,1,33.921,1,0.686,1,101.5,1,0.686,1,33.9204,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,103.4,1,33.924,1,0.696,1,103.4,1,0.696,1,33.9222,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,105.2,1,33.926,1,0.729,1,105.2,1,0.729,1,33.9261,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,107.5,1,33.933,1,0.731,1,107.5,1,0.731,1,33.939,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,109.8,1,33.937,1,0.593,1,109.8,1,0.593,1,33.9361,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,111.6,1,33.938,1,0.614,1,111.6,1,0.614,1,33.9409,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,113.4,1,33.935,1,0.556,1,113.4,1,0.556,1,33.9327,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,115.2,1,33.944,1,0.604,1,115.2,1,0.604,1,33.9476,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,117.1,1,33.941,1,0.531,1,117.1,1,0.531,1,33.9381,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,119.4,1,33.947,1,0.598,1,119.4,1,0.598,1,33.9485,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,121.6,1,33.96,1,0.566,1,121.6,1,0.566,1,33.9614,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,123.4,1,33.964,1,0.544,1,123.4,1,0.544,1,33.967,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,125.2,1,33.966,1,0.491,1,125.2,1,0.491,1,33.9676,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,127.5,1,33.975,1,0.454,1,127.5,1,0.454,1,33.9756,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,129.6,1,33.981,1,0.441,1,129.6,1,0.441,1,33.9815,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,131.5,1,33.988,1,0.432,1,131.5,1,0.432,1,33.9882,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,133.3,1,33.994,1,0.429,1,133.3,1,0.429,1,33.9941,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,135.1,1,33.998,1,0.426,1,135.1,1,0.426,1,33.997,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,137.3,1,34.004,1,0.448,1,137.3,1,0.448,1,34.0039,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,139.5,1,34.018,1,0.451,1,139.5,1,0.451,1,34.0186,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,141.4,1,34.019,1,0.437,1,141.4,1,0.437,1,34.0167,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,143.2,1,34.021,1,0.472,1,143.2,1,0.472,1,34.0145,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,145.0,1,34.039,1,0.589,1,145.0,1,0.589,1,34.0364,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,147.4,1,34.05,1,0.648,1,147.4,1,0.648,1,34.0465,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,149.6,1,34.057,1,0.723,1,149.6,1,0.723,1,34.0552,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,151.5,1,34.066,1,0.755,1,151.5,1,0.755,1,34.0638,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,153.4,1,34.075,1,0.798,1,153.4,1,0.798,1,34.0755,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,155.3,1,34.083,1,0.787,1,155.3,1,0.787,1,34.0812,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,157.1,1,34.09,1,0.819,1,157.1,1,0.819,1,34.0884,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,159.0,1,34.098,1,0.846,1,159.0,1,0.846,1,34.0948,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,161.0,1,34.113,1,0.906,1,161.0,1,0.906,1,34.1086,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,163.4,1,34.125,1,1.008,1,163.4,1,1.008,1,34.1197,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,165.8,1,34.144,1,1.131,1,165.8,1,1.131,1,34.1369,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,167.8,1,34.164,1,1.271,1,167.8,1,1.271,1,34.1597,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,169.8,1,34.181,1,1.351,1,169.8,1,1.351,1,34.1737,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,171.8,1,34.2,1,1.498,1,171.8,1,1.498,1,34.198,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,173.7,1,34.207,1,1.535,1,173.7,1,1.535,1,34.2053,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,175.8,1,34.216,1,1.569,1,175.8,1,1.569,1,34.2142,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,177.8,1,34.217,1,1.604,1,177.8,1,1.604,1,34.2154,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,179.7,1,34.224,1,1.632,1,179.7,1,1.632,1,34.2208,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,181.5,1,34.241,1,1.701,1,181.5,1,1.701,1,34.2475,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,183.3,1,34.236,1,1.578,1,183.3,1,1.578,1,34.2351,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,185.6,1,34.24,1,1.599,1,185.6,1,1.599,1,34.2391,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,187.5,1,34.244,1,1.615,1,187.5,1,1.615,1,34.2432,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,189.4,1,34.247,1,1.631,1,189.4,1,1.631,1,34.2465,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,191.3,1,34.249,1,1.639,1,191.3,1,1.639,1,34.2481,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,193.3,1,34.256,1,1.657,1,193.3,1,1.657,1,34.2549,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,195.3,1,34.263,1,1.679,1,195.3,1,1.679,1,34.2624,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,197.3,1,34.266,1,1.69,1,197.3,1,1.69,1,34.2653,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,199.3,1,34.27,1,1.704,1,199.3,1,1.704,1,34.2691,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,201.4,1,34.275,1,1.722,1,201.4,1,1.722,1,34.274,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,203.4,1,34.28,1,1.741,1,203.4,1,1.741,1,34.2786,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,205.5,1,34.287,1,1.77,1,205.5,1,1.77,1,34.2861,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,207.6,1,34.295,1,1.789,1,207.6,1,1.789,1,34.2938,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,209.3,1,34.3,1,1.81,1,209.3,1,1.81,1,34.2996,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,211.5,1,34.303,1,1.819,1,211.5,1,1.819,1,34.3028,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,213.7,1,34.304,1,1.823,1,213.7,1,1.823,1,34.3036,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,215.5,1,34.306,1,1.829,1,215.5,1,1.829,1,34.3052,1
5905591,2025-01-19T00:23:20Z,1,-58.00757,110.3317,1,217.2,1,34.309,1,1.841,1,217.2,1,1.841,1,34.3074,1
