_RAJ2000	_DEJ2000	HIP	Vmag	RAICRS	DEICRS	Plx	B-V	Survey	Chart	Notes	SpType
198.6879757711	-10.3703815735	64625	6.95	198.68803322	-10.37027582	4.93	1.542	S	 	 	K5
112.8953721588	-31.0473855522	36594	9.61	112.89538084	-31.04739158	0.19	0.175	 	G	 	A3III
264.0922224993	-41.208148199	86156	10.36	264.09222657	-41.20815114	1.87	0.584	 	G	 	F8
249.2247492056	22.8679182748	81357	6.87	249.22446835	22.86825165	10.99	1.007	S	 	 	K0III
156.1576545351	37.7115396782	50967	9.39	156.15768913	37.71147889	5.47	0.346	 	 	 	F2
211.8710212651	-10.3236421973	68993	8.03	211.87116221	-10.32362618	2.03	0.97	S	 	 	G5
146.9112305937	39.835700741	48045	9.87	146.91124278	39.83569605	4.26	0.611	 	 	 	F8
276.4508802966	1.3543871857	90327	9.2	276.45087558	1.35438896	3.79	1.253	 	 	 	K0
312.6463424754	23.7455049346	102874	7.77	312.64634999	23.74551507	4.1	0.514	S	 	 	F5
1.843931985	-25.3566489653	606	7.06	1.84336535	-25.35632439	20.63	0.463	S	 	 	F5V
315.6965686747	15.9671149128	103868	6.88	315.69657995	15.96712201	1.98	1.715	S	 	 	M0
206.790684852	-41.4445984361	67259	9.19	206.79087671	-41.44415678	9.29	0.66	 	 	 	G2/G3V
48.7783784149	-48.5221343692	15133	9.1	48.77843702	-48.52207939	3.87	0.2	 	 	P	G5/G6V
59.981180811	-24.0162152561	18673	4.62	59.98115045	-24.01625677	9.85	-0.121	S	 	P	Ap Si
227.4918637015	-50.8382542133	74215	8.41	227.49189403	-50.83823963	0.35	-0.024	 	 	 	B8V
88.0745667127	-86.3935118807	27734	8.57	88.07529352	-86.39350894	3.19	1.116	 	 	 	G8III
241.4533005057	36.5282230673	78854	7.39	241.45336221	36.5282123	4.98	0.87	S	 	 	G5
315.9839497364	18.7349995208	103970	7.9	315.98395836	18.7350475	4.93	0.8	 	 	 	K0
93.1214895737	-36.5637391797	29464	6.88	93.12150074	-36.56375352	1.64	-0.149	S	 	 	B3Vn
158.0286983483	-49.4507110086	51580	8.42	158.02891011	-49.45081929	6.56	0.412	 	 	 	F2V
204.5232604203	66.6063549451	66520	7.87	204.52316425	66.60634165	4.72	0.091	S	 	 	A2
14.3259462554	25.2926106417	4471	8.47	14.32547081	25.29256908	16.66	0.581	 	 	 	F8
151.513505535	-50.5308270087	49473	9.74	151.51358587	-50.53083554	0.89	0.98	 	G	 	G5
172.2126870611	42.7933104699	56018	7.18	172.2128066	42.79343647	5.39	1.292	S	 	 	K0
185.7768137768	19.1439342622	60404	9.32	185.77681177	19.14394204	1.77	1.11	 	 	 	K0
86.3738228439	60.2612813831	27167	9.91	86.3738568	60.26128464	2.28	1.041	 	G	 	K0
182.9630340821	-18.7882836351	59467	8.14	182.96305611	-18.78824759	2.79	1.131	 	 	 	K0III
134.066261516	-42.1581426558	43873	9.12	134.06630296	-42.15804451	6.69	0.539	 	 	 	F5V
100.4987461612	-16.0072096386	32069	6.94	100.4987518	-16.00722009	3.79	-0.027	S	 	 	B8/B9III
224.7742419513	73.4258765796	73330	8.55	224.77497055	73.42572156	19.01	0.669	S	 	 	G5
184.1860721015	51.9875289444	59874	10.41	184.18626131	51.98754433	6.07	0.583	 	 	 	G0
52.5456155736	59.365946656	16303	6.14	52.54554846	59.36606884	9.67	0.095	S	 	 	A2V
66.7807905059	20.9908851367	20785	8.57	66.7807639	20.99100997	11.09	0.797	 	 	 	G5
92.4498411581	-22.7743429393	29234	5.71	92.44961008	-22.77449062	18.48	0.454	S	 	 	F5V
294.217472394	30.3250162104	96480	7.64	294.21747062	30.32502445	2.93	-0.084	S	 	 	B9
309.1939974833	-1.4844896582	101696	8.92	309.19397351	-1.48447437	0.76	1.574	 	 	 	K5
307.5029934719	72.5317030472	101134	6.23	307.50299582	72.53176245	4.78	1.353	S	 	 	K4III:
101.228843391	20.8606535068	32329	7.2	101.22859962	20.86062225	21.77	0.562	S	 	 	F8
228.5296641961	52.5885046758	74563	9.92	228.52968696	52.58849928	4.32	0.3	 	 	 	A5
244.580370867	-4.6925106733	79882	3.23	244.58016994	-4.69260809	30.34	0.966	S	 	 	G8III
283.3230984902	21.2257613262	92699	9.76	283.32308089	21.22573792	3.05	0.423	 	G	 	A7
264.5817879723	-27.2054224174	86327	10.35	264.58300039	-27.20504819	18.49	1.586	 	G	 	K:
216.3893841757	17.4168703568	70523	9.02	216.38939113	17.41685152	6.29	0.294	S	 	 	F5
100.5666576746	12.0079310083	32090	8.0	100.56653477	12.0079033	6.51	0.849	 	 	 	G5
299.831096195	42.1688371326	98381	9.91	299.83052162	42.1684472	24.44	1.11	 	G	 	K2
126.6427166868	71.0514109913	41385	9.2	126.64288076	71.05157029	8.28	0.594	 	 	 	G0
46.8682405847	-78.9921892654	14515	7.79	46.86722441	-78.99240634	15.02	0.441	S	 	 	
296.9188646719	-42.0073322105	97394	10.32	296.91877292	-42.00723353	9.11	-0.067	 	G	 	DB:p
295.4059772738	-8.628986536	96883	8.46	295.40597307	-8.62895122	4.08	1.22	 	 	 	K0
260.7220941307	-33.8173353219	85046	9.12	260.7220812	-33.81736269	4.02	0.522	 	 	 	F3V
160.4646605746	-79.7832881141	52340	5.97	160.46490038	-79.78330226	3.26	-0.071	S	 	P	B5IV
243.0272672317	39.0555238104	79385	6.39	243.02727947	39.0555758	3.76	1.262	S	 	 	K0
303.4811260183	39.1590145648	99704	7.09	303.48100449	39.15896836	6.91	0.179	S	 	 	A7III
256.7837034893	44.2554466375	83763	8.07	256.78391029	44.25552303	7.71	0.57	S	 	 	G5
259.4790355955	-58.1748759362	84619	8.9	259.47893152	-58.17485778	6.68	0.488	 	 	 	F0IV
280.9088443352	24.695547729	91856	9.73	280.90882502	24.69552967	2.27	0.362	 	G	 	F0
92.7592058214	-7.2842491189	29327	7.61	92.75921403	-7.28424698	1.55	-0.122	S	 	 	B8
235.4181541579	-15.559375926	76857	8.86	235.41820646	-15.55934236	3.39	1.241	 	 	 	K0III
226.5635503512	19.6417982798	73905	10.51	226.56381743	19.64205203	12.17	0.931	 	G	 	
282.4336895036	31.6294608603	92396	6.64	282.43366641	31.62946227	3.39	-0.014	S	 	 	A0Vs
88.0416812523	40.9630164247	27717	7.97	88.04158247	40.96311039	5.8	0.666	S	 	 	F8
86.3390353942	4.8488981743	27151	8.33	86.33902793	4.8489139	3.77	0.133	 	 	 	A0
108.0200396991	-24.8920905454	34785	10.37	108.02034398	-24.89207132	36.44	1.33	 	G	 	M0V:
200.5997659828	-33.9512976782	65253	8.78	200.59984407	-33.95130864	3.08	1.026	 	 	 	K0III
151.9401333075	-7.6307691296	49633	6.63	151.94026882	-7.63073464	3.89	1.61	S	 	 	M2III:
173.0488439831	78.5087381533	56273	9.99	173.04956991	78.5087278	1.61	0.542	 	 	 	F8
118.9441056936	-43.8450542772	38732	6.02	118.94414755	-43.84505768	3.81	-0.111	S	 	 	B6V
50.1422810816	19.1803948053	15566	8.28	50.14225491	19.18042159	3.7	0.184	S	 	 	A0
126.0593948532	9.2331530908	41183	8.81	126.05938621	9.23314507	1.73	-0.082	 	 	 	A2
155.5539082893	-19.8665706732	50790	6.12	155.55399807	-19.86659301	4.63	0.035	S	 	 	A0V
268.4921180447	44.164728658	87623	9.02	268.49208179	44.16472754	2.8	0.167	 	 	 	A0
115.2165654755	-7.2918994476	37413	7.98	115.21659858	-7.29193909	8.21	0.364	S	 	 	F0
126.9270087517	-33.3830169578	41491	7.93	126.92704438	-33.38301443	3.61	0.955	 	 	 	K0III
287.6151252817	-30.0071187212	94184	6.52	287.61492791	-30.00695952	18.19	0.464	S	 	 	F5V
87.0907327016	-34.9364815939	27420	7.29	87.0907244	-34.93644008	4.18	0.935	S	 	 	G8III
184.7770893255	16.5482968067	60074	7.04	184.7775347	16.54865721	35.07	0.604	S	 	 	G2V
262.8206439568	-30.3214039049	85739	9.58	262.82063199	-30.32134545	3.87	0.53	 	G	 	F2
144.0178196204	37.5528804549	47110	8.25	144.01813028	37.55309624	26.29	0.758	S	 	 	G5
16.6985181025	35.1456405092	5226	7.51	16.69855291	35.14566078	4.59	0.1	S	 	 	A2
17.3838204516	-19.3917232767	5435	8.66	17.3838162	-19.39169586	2.59	1.129	 	 	 	G8IV
52.8680950763	21.821908691	16423	8.88	52.8680319	21.82202825	8.44	0.391	 	 	 	F2
145.692029355	-20.9841791649	47637	9.17	145.69208056	-20.98419596	3.49	0.989	 	 	 	K0III
43.2910443547	58.7655558071	13446	8.02	43.29106601	58.76555763	1.28	0.249	 	 	 	B7III
110.9421917847	0.0110973643	35871	8.83	110.942165	0.01120584	7.25	0.597	 	 	 	G0
193.2623670744	16.8515866427	62859	10.21	193.26258703	16.85135574	29.75	1.11	 	 	 	K8
17.75481225	-11.3835794732	5538	8.2	17.75476787	-11.38355106	6.86	0.612	S	 	 	F8
169.935339845	6.1902354434	55323	9.2	169.93502444	6.19076844	16.28	0.734	 	 	 	K0
202.207579067	59.928250625	65756	7.94	202.2079546	59.92817032	13.88	-0.2	S	 	 	F8
26.9099226214	-26.7500226458	8346	8.98	26.91014516	-26.74935383	25.79	0.795	 	 	 	K0V
266.4722925398	-13.306194339	86938	11.91	266.47215672	-13.30643178	26.89	1.44	 	G	 	M3V:
289.4426014676	76.6191055378	94830	7.58	289.44261092	76.61908201	10.86	0.319	S	 	 	F0
125.3563345107	-44.9899566232	40948	7.75	125.35637637	-44.98996496	2.51	-0.087	S	 	 	B7V
2.7881204287	-87.4142256536	903	8.85	2.78668359	-87.41423771	4.41	0.585	 	 	 	F8/G0V
304.6908436545	-0.657286883	100133	11.01	304.69134866	-0.65712214	34.77	1.43	 	G	 	
281.746120242	46.3149222661	92156	6.52	281.74610599	46.31496028	5.25	0.068	S	 	 	A2IV
46.8310002175	8.3956076354	14504	9.04	46.83102771	8.3956395	5.01	0.61	S	 	 	F5
256.6707724071	-36.0779075489	83721	7.4	256.67076949	-36.07790541	2.53	0.296	S	 	 	B1Ib
125.4344628163	43.3339941405	40979	9.09	125.43450345	43.33401621	3.81	0.175	 	 	 	A5
46.3594716589	39.6534361246	14374	8.02	46.35954512	39.65343926	3.42	1.026	 	 	 	K0
311.1617804961	13.5553354632	102380	7.57	311.16170439	13.5553543	6.14	0.039	S	 	 	A0
308.6378091588	41.9966286786	101528	7.97	308.63782973	41.99664263	1.46	0.185	 	 	 	Am
157.2052602647	-60.8946812137	51310	7.61	157.2052836	-60.89468887	1.24	0.259	S	 	 	B8Iab
81.5098520452	-5.5185014921	25401	6.24	81.50983378	-5.51850419	4.89	-0.047	S	 	 	B9.5Vn
78.4552218002	37.0326684829	24379	6.86	78.45521702	37.03275591	5.67	0.015	S	 	 	A0
311.2376917754	-47.4493981393	102392	9.84	311.23754355	-47.44934807	7.9	0.462	 	 	 	F5V
77.162651468	56.0983469229	23937	8.32	77.16267574	56.0983801	2.27	0.249	S	 	 	A0
10.6915962284	-20.3601305304	3359	9.73	10.69153323	-20.36008452	9.0	0.571	 	 	 	G2/G3V
137.9435528577	44.8240716828	45133	7.22	137.94368527	44.82411536	3.9	1.04	S	 	 	K0
173.6836185762	-29.2148668302	56478	10.28	173.68383618	-29.21496957	6.79	0.574	 	G	 	G5
75.5793361154	-1.1987215594	23441	10.92	75.57934336	-1.19871699	4.71	0.49	 	G	 	F5
71.6101259743	-35.8060910222	22194	7.75	71.61011039	-35.80618455	4.36	1.219	S	 	 	K1/K2III
280.5690374431	-15.8557791472	91725	8.18	280.56904851	-15.8557808	1.65	0.151	 	 	 	B2Ibe
233.5379942604	56.3537755512	76215	8.16	233.53796851	56.35377402	0.66	1.666	 	 	 	M1
241.9415799542	29.1783232383	79025	9.45	241.94160267	29.17827803	6.71	0.517	 	 	 	F5
277.5324056085	-16.1913276647	90678	7.82	277.53238569	-16.19128513	8.16	0.287	 	 	 	A8V
